,humidity,precip,windgust,winddir,tempmax,tempmin,windspeed,datetime,year,month
0,68.5,0.0,0.0,116.7,29.0,15.0,24.1,2020-11-17,2020,11
1,59.0,0.1,0.0,125.8,29.0,15.0,18.4,2020-11-18,2020,11
2,53.6,0.0,0.0,108.9,30.0,12.0,21.4,2020-11-19,2020,11
3,54.8,0.0,0.0,193.0,30.3,14.0,29.5,2020-11-20,2020,11
4,72.9,0.0,0.0,119.7,31.0,18.0,22.3,2020-11-21,2020,11
5,73.8,8.0,0.0,84.0,28.0,16.0,20.5,2020-11-22,2020,11
6,72.5,0.1,0.0,103.1,29.0,19.0,21.4,2020-11-23,2020,11
7,64.1,0.0,0.0,112.1,30.0,16.0,31.4,2020-11-24,2020,11
8,61.8,0.0,37.1,112.2,29.7,16.0,25.9,2020-11-25,2020,11
9,64.8,0.0,0.0,101.0,28.2,14.0,21.4,2020-11-26,2020,11
10,66.8,0.0,0.0,112.9,31.0,16.0,18.4,2020-11-27,2020,11
11,64.4,0.0,0.0,112.9,31.0,18.0,24.1,2020-11-28,2020,11
12,60.3,0.0,0.0,113.5,31.0,17.0,14.9,2020-11-29,2020,11
13,69.4,1.5,0.0,269.3,31.0,17.0,29.5,2020-11-30,2020,11
14,83.7,3.8,0.0,33.0,28.0,18.0,25.9,2020-12-01,2020,12
15,78.0,0.0,0.0,304.2,30.0,17.0,25.2,2020-12-02,2020,12
16,68.0,0.0,0.0,98.9,30.6,19.0,14.8,2020-12-03,2020,12
17,71.8,0.0,0.0,100.8,30.8,18.0,37.1,2020-12-04,2020,12
18,71.4,0.0,0.0,129.6,30.0,20.0,24.2,2020-12-05,2020,12
19,73.7,0.0,0.0,119.7,28.8,18.0,22.3,2020-12-06,2020,12
20,73.8,9.0,0.0,299.8,28.1,20.0,27.7,2020-12-07,2020,12
21,76.7,28.0,63.0,148.9,28.0,17.0,35.3,2020-12-08,2020,12
22,81.1,2.5,0.0,134.8,23.8,16.3,24.1,2020-12-09,2020,12
23,84.8,9.0,0.0,124.0,25.0,17.0,25.9,2020-12-10,2020,12
24,89.0,9.0,0.0,114.3,21.1,17.0,18.4,2020-12-11,2020,12
25,80.5,1.1,0.0,119.9,23.0,16.0,25.0,2020-12-12,2020,12
26,74.6,0.0,0.0,125.7,26.0,15.0,22.3,2020-12-13,2020,12
27,69.8,0.0,0.0,129.7,26.0,16.0,18.4,2020-12-14,2020,12
28,64.2,0.0,0.0,112.1,30.0,13.0,22.3,2020-12-15,2020,12
29,64.6,0.0,0.0,112.4,30.0,15.0,23.2,2020-12-16,2020,12
30,65.1,0.0,0.0,105.7,29.6,17.0,25.9,2020-12-17,2020,12
31,67.7,0.0,0.0,79.1,31.0,19.0,20.5,2020-12-18,2020,12
32,67.6,0.0,0.0,208.7,30.7,17.0,20.5,2020-12-19,2020,12
33,71.7,17.0,29.5,115.7,29.0,18.0,29.5,2020-12-20,2020,12
34,76.0,4.0,0.0,110.1,29.0,18.0,29.5,2020-12-21,2020,12
